Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3.1
29620,12934.0,Abbeville,South Carolina,6.0,0.0,11.0,5.0,3.0,7.0,3.0,2536.0,212.5,536.35,98%,40.0,6.0,0.0,8.0,3.0,3.0,3.0,3.0
29628,2759.0,Abbeville,South Carolina,4.0,0.0,8.0,3.0,2.0,5.0,2.0,100.0,51.12,126.06,95%,40.0,4.0,0.0,6.0,3.0,3.0,3.0,3.0
29638,2944.0,Abbeville,South Carolina,6.0,1.0,13.0,4.0,4.0,6.0,4.0,272.0,82.79,222.35,95%,40.0,5.0,0.0,7.0,2.0,2.0,2.0,2.0
29639,1742.0,Abbeville,South Carolina,3.0,0.0,8.0,3.0,3.0,5.0,3.0,163.0,93.12,223.75,90%,40.0,3.0,0.0,5.0,3.0,3.0,3.0,3.0
70516,1546.0,Acadia,Louisiana,4.0,3.0,12.0,2.0,2.0,4.0,2.0,49.0,2.76,9.41,33%,69.99,4.0,2.0,8.0,2.0,1.0,2.0,1.0
70525,13150.0,Acadia,Louisiana,7.0,3.0,15.0,5.0,3.0,8.0,3.0,687.0,28.82,105.0,73%,55.0,6.0,2.0,10.0,3.0,2.0,3.0,2.0
70526,19206.0,Acadia,Louisiana,6.0,4.0,16.0,3.0,3.0,6.0,3.0,2797.0,99.12,240.35,88%,65.99,5.0,2.0,9.0,2.0,1.0,2.0,1.0
70531,1261.0,Acadia,Louisiana,5.0,4.0,15.0,3.0,1.0,5.0,1.0,1231.0,26.19,84.97,40%,55.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
70537,541.0,Acadia,Louisiana,3.0,2.0,11.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,44%,69.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
70543,4077.0,Acadia,Louisiana,4.0,4.0,14.0,3.0,2.0,6.0,2.0,356.0,45.57,116.82,66%,69.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
70559,2943.0,Acadia,Louisiana,6.0,5.0,17.0,3.0,3.0,6.0,3.0,40.0,4.57,10.03,13%,65.99,4.0,2.0,8.0,2.0,1.0,2.0,1.0
70578,16122.0,Acadia,Louisiana,9.0,3.0,18.0,7.0,6.0,10.0,6.0,3114.0,54.53,162.9,76%,35.0,5.0,2.0,9.0,3.0,2.0,3.0,2.0
23302,155.0,Accomack,Virginia,2.0,0.0,7.0,1.0,1.0,3.0,1.0,,,,47%,59.99,6.0,1.0,9.0,1.0,1.0,1.0,1.0
23345,,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23357,776.0,Accomack,Virginia,4.0,2.0,11.0,2.0,2.0,5.0,3.0,,,,49%,59.99,8.0,1.0,11.0,2.0,2.0,2.0,2.0
23358,152.0,Accomack,Virginia,1.0,1.0,7.0,0.0,0.0,3.0,1.0,,,,0%,100.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0
23359,776.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,1.0,,,,78%,59.99,7.0,1.0,10.0,1.0,1.0,1.0,1.0
23396,,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23399,,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23404,,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23409,84.0,Accomack,Virginia,1.0,1.0,7.0,1.0,1.0,3.0,1.0,,,,18%,59.99,0.0,1.0,3.0,0.0,0.0,0.0,0.0
23416,356.0,Accomack,Virginia,4.0,1.0,10.0,2.0,2.0,4.0,2.0,,,,88%,59.99,5.0,1.0,8.0,1.0,1.0,1.0,1.0
23426,225.0,Accomack,Virginia,2.0,1.0,8.0,1.0,1.0,4.0,1.0,,,,99%,59.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23442,1059.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,1.0,,,,86%,59.99,4.0,1.0,7.0,1.0,1.0,1.0,1.0
23488,201.0,Accomack,Virginia,2.0,1.0,8.0,1.0,1.0,4.0,1.0,,,,54%,59.99,2.0,0.0,4.0,0.0,0.0,0.0,0.0
23301,1831.0,Accomack,Virginia,4.0,2.0,11.0,2.0,2.0,5.0,3.0,826.0,19.57,46.58,67%,59.99,3.0,1.0,6.0,2.0,2.0,2.0,2.0
23303,741.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,94%,59.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23306,1088.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,24.0,74.26,93.24,44%,59.99,2.0,2.0,6.0,1.0,1.0,1.0,1.0
23308,2106.0,Accomack,Virginia,3.0,4.0,12.0,1.0,1.0,4.0,2.0,2.0,223.15,223.15,46%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23336,2941.0,Accomack,Virginia,6.0,2.0,13.0,4.0,4.0,7.0,4.0,736.0,52.39,173.35,100%,59.99,4.0,1.0,7.0,2.0,2.0,2.0,2.0
23337,377.0,Accomack,Virginia,3.0,0.0,8.0,1.0,1.0,3.0,1.0,10.0,273.97,426.99,94%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23356,1246.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,1.0,8.0,25.87,84.4,100%,59.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23395,645.0,Accomack,Virginia,3.0,2.0,10.0,2.0,2.0,5.0,2.0,20.0,4.1,5.08,64%,59.99,3.0,1.0,6.0,2.0,2.0,2.0,2.0
23410,2015.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,1616.0,2.75,5.17,63%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23415,1893.0,Accomack,Virginia,5.0,3.0,13.0,3.0,3.0,6.0,3.0,32.0,72.55,373.27,81%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23417,4047.0,Accomack,Virginia,4.0,3.0,12.0,2.0,2.0,6.0,3.0,8200.0,3.8,5.8,49%,59.99,3.0,2.0,7.0,2.0,2.0,2.0,2.0
23418,863.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,2.0,634.0,7.71,22.95,77%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23420,2376.0,Accomack,Virginia,3.0,3.0,11.0,1.0,1.0,4.0,2.0,28.0,1.75,4.41,40%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23421,4255.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,402.0,26.24,74.01,46%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
83708,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83720,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83721,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83722,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83724,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83725,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83726,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83727,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83728,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83729,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83730,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83731,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83732,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83733,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83735,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83756,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83757,,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83616,22780.0,Ada,Idaho,4.0,5.0,15.0,4.0,3.0,7.0,3.0,8306.0,72.7,211.09,100%,39.95,7.0,2.0,11.0,4.0,4.0,4.0,4.0
83634,24494.0,Ada,Idaho,3.0,5.0,14.0,3.0,3.0,7.0,3.0,8488.0,56.05,195.36,100%,55.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0
83642,37008.0,Ada,Idaho,7.0,5.0,18.0,7.0,6.0,11.0,6.0,39933.0,55.62,168.36,100%,39.95,7.0,1.0,10.0,5.0,4.0,5.0,4.0
83646,47098.0,Ada,Idaho,4.0,5.0,15.0,4.0,4.0,7.0,4.0,47476.0,56.33,170.44,100%,55.0,8.0,1.0,11.0,5.0,4.0,5.0,4.0
83669,7365.0,Ada,Idaho,4.0,5.0,15.0,4.0,4.0,7.0,4.0,4520.0,48.52,140.5,100%,55.0,3.0,2.0,7.0,3.0,2.0,4.0,3.0
83702,22293.0,Ada,Idaho,7.0,5.0,18.0,5.0,4.0,8.0,4.0,67758.0,35.74,109.38,100%,55.0,8.0,4.0,14.0,4.0,3.0,4.0,3.0
83703,16565.0,Ada,Idaho,5.0,5.0,16.0,5.0,4.0,8.0,4.0,38432.0,52.67,136.9,100%,55.0,4.0,2.0,8.0,3.0,2.0,3.0,2.0
83704,39628.0,Ada,Idaho,4.0,4.0,14.0,4.0,4.0,7.0,4.0,60461.0,40.35,94.79,100%,55.0,6.0,2.0,10.0,4.0,4.0,4.0,4.0
83705,26631.0,Ada,Idaho,3.0,4.0,13.0,3.0,3.0,6.0,3.0,17211.0,49.4,112.92,100%,55.0,6.0,2.0,10.0,4.0,4.0,4.0,4.0
83706,29732.0,Ada,Idaho,4.0,4.0,14.0,4.0,4.0,7.0,4.0,16183.0,52.23,157.57,100%,55.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0
83709,50034.0,Ada,Idaho,4.0,5.0,15.0,4.0,4.0,7.0,4.0,57959.0,66.1,179.18,100%,55.0,6.0,2.0,10.0,4.0,4.0,4.0,4.0
83712,8148.0,Ada,Idaho,3.0,3.0,12.0,3.0,3.0,6.0,3.0,4488.0,27.05,57.37,100%,55.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0
83713,28103.0,Ada,Idaho,5.0,5.0,16.0,4.0,3.0,7.0,3.0,31043.0,66.26,169.71,100%,55.0,8.0,1.0,11.0,5.0,4.0,5.0,4.0
83714,20290.0,Ada,Idaho,5.0,5.0,16.0,5.0,4.0,9.0,4.0,1404.0,49.15,99.56,100%,55.0,4.0,2.0,8.0,4.0,2.0,4.0,2.0
83716,14523.0,Ada,Idaho,3.0,5.0,14.0,3.0,3.0,7.0,3.0,3051.0,78.79,218.93,93%,55.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0
50002,1297.0,Adair,Iowa,11.0,3.0,20.0,8.0,7.0,11.0,7.0,31.0,8.08,21.47,75%,49.95,7.0,3.0,11.0,2.0,2.0,2.0,2.0
50070,1489.0,Adair,Iowa,5.0,3.0,14.0,4.0,4.0,6.0,5.0,144.0,10.3,41.94,72%,69.99,7.0,3.0,11.0,2.0,2.0,2.0,2.0
50837,376.0,Adair,Iowa,6.0,2.0,15.0,4.0,4.0,6.0,4.0,414.0,15.93,44.78,65%,124.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0
50846,1123.0,Adair,Iowa,8.0,2.0,16.0,5.0,4.0,7.0,4.0,69.0,3.23,7.17,77%,64.95,4.0,2.0,7.0,0.0,0.0,0.0,0.0
50849,2740.0,Adair,Iowa,10.0,3.0,19.0,6.0,6.0,8.0,6.0,32.0,25.92,65.73,88%,69.95,7.0,4.0,12.0,3.0,3.0,3.0,3.0
50858,796.0,Adair,Iowa,6.0,3.0,15.0,4.0,3.0,6.0,3.0,105.0,4.23,8.33,74%,69.95,4.0,4.0,9.0,1.0,1.0,1.0,1.0
42715,347.0,Adair,Kentucky,1.0,1.0,6.0,0.0,0.0,2.0,0.0,,,,0%,,2.0,1.0,5.0,0.0,0.0,0.0,0.0
42742,,Adair,Kentucky,,,,,,,,,,,,,,,,,,,
42753,743.0,Adair,Kentucky,1.0,1.0,7.0,1.0,1.0,3.0,1.0,,,,93%,,9.0,1.0,12.0,0.0,0.0,0.0,0.0
42528,1524.0,Adair,Kentucky,5.0,1.0,12.0,4.0,4.0,6.0,4.0,76.0,9.89,22.4,91%,69.99,4.0,1.0,7.0,2.0,1.0,2.0,1.0
42728,15925.0,Adair,Kentucky,8.0,1.0,15.0,6.0,6.0,8.0,6.0,4565.0,24.6,67.02,81%,70.0,6.0,1.0,9.0,2.0,1.0,2.0,1.0
42741,480.0,Adair,Kentucky,3.0,1.0,8.0,2.0,2.0,4.0,2.0,3.0,7.78,8.65,41%,,2.0,1.0,5.0,0.0,0.0,0.0,0.0
63540,150.0,Adair,Missouri,2.0,1.0,9.0,0.0,0.0,3.0,0.0,,,,95%,79.95,2.0,1.0,4.0,0.0,0.0,0.0,0.0
63501,21532.0,Adair,Missouri,9.0,2.0,17.0,4.0,4.0,7.0,4.0,10235.0,86.16,225.91,89%,55.0,6.0,2.0,9.0,1.0,1.0,1.0,1.0
63533,805.0,Adair,Missouri,1.0,1.0,8.0,1.0,0.0,4.0,0.0,40.0,31.78,93.95,28%,44.95,1.0,1.0,3.0,0.0,0.0,0.0,0.0
63546,1715.0,Adair,Missouri,6.0,1.0,13.0,3.0,2.0,6.0,2.0,66.0,23.71,68.04,42%,44.95,4.0,1.0,6.0,1.0,1.0,1.0,1.0
63559,1420.0,Adair,Missouri,3.0,2.0,11.0,1.0,1.0,3.0,1.0,251.0,14.56,29.51,97%,70.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0
74457,608.0,Adair,Oklahoma,3.0,0.0,10.0,1.0,1.0,3.0,2.0,,,,1%,49.95,2.0,0.0,3.0,0.0,0.0,0.0,0.0
74931,1411.0,Adair,Oklahoma,2.0,0.0,9.0,2.0,2.0,4.0,3.0,1.0,13.08,13.08,41%,49.95,1.0,0.0,2.0,0.0,0.0,0.0,0.0
74960,13643.0,Adair,Oklahoma,5.0,1.0,13.0,4.0,4.0,6.0,5.0,529.0,13.83,16.12,62%,25.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0
74964,2834.0,Adair,Oklahoma,6.0,0.0,12.0,6.0,4.0,8.0,5.0,46.0,11.14,14.68,76%,49.95,4.0,0.0,5.0,2.0,1.0,2.0,1.0
74965,5170.0,Adair,Oklahoma,5.0,0.0,11.0,3.0,2.0,5.0,3.0,121.0,10.78,25.98,89%,49.95,4.0,0.0,5.0,0.0,0.0,0.0,0.0
80019,1690.0,Adams,Colorado,3.0,4.0,15.0,3.0,3.0,5.0,4.0,14.0,7.05,7.67,97%,65.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0
80022,42699.0,Adams,Colorado,4.0,3.0,14.0,4.0,4.0,7.0,5.0,16255.0,102.44,260.06,98%,39.95,4.0,2.0,7.0,4.0,4.0,4.0,4.0
80030,15329.0,Adams,Colorado,4.0,2.0,12.0,4.0,3.0,6.0,4.0,2388.0,96.89,260.39,100%,65.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0
80031,33932.0,Adams,Colorado,3.0,3.0,12.0,3.0,3.0,5.0,4.0,31442.0,114.95,291.5,100%,65.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0
80045,277.0,Adams,Colorado,3.0,2.0,11.0,3.0,3.0,5.0,4.0,1519.0,69.02,122.38,100%,65.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0
80102,5514.0,Adams,Colorado,6.0,7.0,21.0,5.0,3.0,8.0,4.0,1364.0,23.43,49.34,100%,79.99,5.0,4.0,10.0,2.0,2.0,2.0,2.0
80136,4834.0,Adams,Colorado,5.0,4.0,17.0,4.0,4.0,6.0,5.0,4433.0,12.81,26.69,69%,66.95,4.0,3.0,8.0,2.0,1.0,2.0,1.0
80221,37779.0,Adams,Colorado,4.0,4.0,14.0,4.0,4.0,7.0,5.0,43533.0,74.43,221.59,99%,39.95,4.0,3.0,8.0,3.0,3.0,4.0,3.0
80229,49598.0,Adams,Colorado,3.0,3.0,12.0,3.0,3.0,6.0,4.0,28532.0,93.22,255.27,98%,39.95,2.0,2.0,5.0,2.0,2.0,2.0,2.0
80233,45386.0,Adams,Colorado,4.0,2.0,12.0,4.0,4.0,6.0,5.0,33193.0,103.36,262.93,100%,64.95,3.0,1.0,5.0,3.0,3.0,3.0,3.0
